rank,nome,prov,pop,ele_m,score,salute,mobilita,istruzione,quotidiano,rischio,vitalita,m_er,m_pharm,m_doc,m_vet,m_rail,m_mjunc,m_kinder,m_school,m_upper,m_super,m_post,n_retail5,flood_p3,flood_p2,land_p34,oldindex,pct65,age_mean,pop_trend,tour_units,tour_p1000,income,coast,sea_km,beach_km,lat,lon,istat
249,Zocca,MO,4819,691.0,90.0,89.2,76.9,100.9,96.5,90.5,106.2,28.6,5.0,18.2,38.2,35.9,46.4,6.1,6.0,6.0,6.1,5.3,7,0.27,0.57,17.45,265.0,28.1,48.7,5.33,6,1.2,21353.0,0,105.8,99.2,44.3632992,10.98703,036047
249,Guiglia,MO,4229,495.0,90.0,89.9,88.2,95.6,86.6,98.8,109.8,20.6,6.4,23.3,29.8,21.5,31.4,9.8,9.9,9.9,14.3,7.6,5,0.35,0.57,3.66,221.0,24.5,47.2,8.32,2,0.5,22303.0,0,106.6,98.2,44.3980393,10.9592647,036017
251,Mercato Saraceno,FC,6832,292.0,89.8,92.6,92.0,80.4,95.8,84.7,98.0,22.8,7.7,22.0,11.0,32.5,4.2,20.3,18.9,28.1,7.4,4.3,3,5.36,10.28,24.38,209.0,25.4,46.4,-1.1,2,0.3,20896.0,0,31.1,23.2,43.9808625,12.1738466,040020
251,Roncofreddo,FC,3485,314.0,89.8,87.8,95.6,93.2,83.7,67.0,105.3,20.3,13.8,19.6,20.0,18.2,14.5,4.4,11.9,20.2,15.2,9.3,1,0.32,0.53,47.26,173.0,22.0,45.6,2.59,3,0.9,20776.0,0,19.2,19.0,44.0493265,12.2763718,040037
253,Neviano degli Arduini,PR,3468,465.0,89.7,93.2,88.9,91.3,85.6,89.1,91.1,28.9,8.8,13.1,13.1,20.7,30.3,12.9,10.9,19.8,19.1,1.0,1,1.16,1.27,19.25,285.0,29.9,49.7,-3.72,9,2.6,22287.0,0,153.2,134.1,44.5372277,10.3170652,034024
253,Casalfiumanese,BO,3363,320.0,89.7,92.4,84.0,93.4,89.7,96.1,94.6,30.4,8.8,10.1,20.9,29.4,34.2,8.4,8.6,24.1,10.2,8.7,7,4.51,21.03,6.33,226.0,25.3,47.1,-2.72,4,1.2,22456.0,0,62.8,45.7,44.2912615,11.5357247,037012
253,Maiolo,RN,797,444.0,89.7,98.8,76.5,87.3,100.4,72.2,95.0,5.3,5.4,5.4,27.5,50.6,26.4,4.8,6.1,50.2,5.4,1.8,8,1.53,1.65,41.4,312.0,26.2,48.3,-0.99,1,1.3,18624.0,0,29.8,29.8,43.8815091,12.315476,099022
256,Monterenzio,BO,6148,468.0,89.3,88.6,86.8,94.1,88.0,96.3,98.7,18.7,12.7,25.8,8.5,24.8,31.6,7.6,7.4,25.5,12.4,8.3,6,5.01,30.6,5.75,234.0,25.3,47.2,-0.24,13,2.1,23207.0,0,70.9,54.1,44.2963695,11.4275738,037041
257,Vernasca,PC,2017,332.0,89.0,82.1,85.2,97.0,93.1,95.0,90.2,34.8,5.5,29.5,47.5,23.8,36.7,5.4,5.3,22.9,9.8,5.4,6,1.47,1.47,9.75,417.0,33.5,51.7,-1.85,3,1.5,21015.0,0,188.1,162.1,44.7844527,9.8551151,033044
258,Vezzano sul Crostolo,RE,4395,302.0,88.3,89.6,94.7,92.8,77.9,91.1,105.7,29.4,2.7,26.1,28.8,19.4,15.6,2.9,9.9,28.5,13.9,15.6,0,11.53,15.02,11.52,203.0,23.9,46.5,3.48,2,0.5,23351.0,0,136.6,117.5,44.5744563,10.5213476,035043
259,Rocca San Casciano,FC,1795,321.0,88.1,87.8,78.2,87.4,102.7,92.8,92.9,44.3,1.8,26.4,24.3,33.6,45.3,15.0,2.2,47.2,2.3,1.6,5,6.5,19.3,11.06,343.0,32.5,50.7,-1.7,6,3.3,20803.0,0,46.1,23.0,44.0634212,11.8518201,040036
260,Castel d'Aiano,BO,1922,772.0,87.5,87.1,86.1,90.0,87.1,90.8,98.1,19.4,16.1,15.4,20.4,18.4,39.5,5.5,15.4,19.8,16.5,4.0,4,0.05,0.1,17.18,377.0,32.2,51.1,2.56,1,0.5,19738.0,0,103.4,85.9,44.2857201,11.0185036,037013
261,Sogliano al Rubicone,FC,3142,373.0,87.0,88.3,88.4,85.5,85.7,67.2,98.8,19.4,14.1,17.6,20.2,36.3,10.0,15.8,11.5,36.0,15.1,7.3,2,2.12,3.29,46.81,185.0,25.2,46.2,-1.07,3,1.0,19011.0,0,26.9,26.7,43.9708327,12.2621281,040046
262,Baiso,RE,3263,304.0,86.0,82.8,87.7,87.9,85.7,83.6,99.7,31.7,17.2,20.6,20.7,30.6,21.7,18.0,10.2,28.0,7.4,13.8,3,1.2,1.35,27.22,257.0,27.0,48.5,0.77,2,0.6,24436.0,0,130.6,115.4,44.4758604,10.618748,035003
