rank,nome,prov,pop,ele_m,score,salute,mobilita,istruzione,quotidiano,rischio,vitalita,m_er,m_pharm,m_doc,m_vet,m_rail,m_mjunc,m_kinder,m_school,m_upper,m_super,m_post,n_retail5,flood_p3,flood_p2,land_p34,oldindex,pct65,age_mean,pop_trend,tour_units,tour_p1000,income,coast,sea_km,beach_km,lat,lon,istat
311,Valmozzola,PR,528,616.0,70.4,60.2,96.8,61.2,75.1,87.7,85.1,88.7,14.5,34.6,73.8,13.8,16.4,34.6,26.7,60.5,25.9,3.1,1,1.24,1.24,21.32,681.0,40.0,55.4,2.13,2,3.8,18507.0,0,187.5,165.8,44.5775261,9.874794,034044
312,Fanano,MO,2979,1243.0,69.9,79.7,62.3,67.0,73.2,80.7,97.6,7.8,8.0,17.9,75.8,42.9,75.3,54.5,7.0,46.8,11.4,20.5,2,0.4,0.73,31.32,341.0,32.2,50.7,1.26,8,2.7,20210.0,0,124.8,104.1,44.1834716,10.7817384,036011
313,Farini,PC,1044,514.0,69.8,65.6,58.1,76.0,85.6,73.8,53.1,35.9,30.9,17.2,70.0,60.9,70.5,31.1,17.3,36.1,17.0,4.8,1,2.54,2.54,39.33,1074.0,48.4,60.1,-11.0,4,3.8,17154.0,0,210.7,186.1,44.6949466,9.5700728,033019
314,Coli,PC,849,1136.0,69.6,73.8,47.7,87.5,82.1,76.6,91.1,15.9,15.4,35.3,59.2,91.8,95.3,15.2,15.7,16.2,15.6,10.5,1,4.92,7.33,35.46,475.0,38.0,54.0,0.12,4,4.7,20596.0,0,219.5,193.6,44.7578721,9.4575025,033016
315,Montecreto,MO,966,865.0,69.2,73.6,55.8,68.3,85.9,85.1,102.2,17.7,4.3,35.7,78.7,56.5,80.2,55.9,10.4,32.7,17.5,4.2,5,0.7,1.1,25.24,312.0,32.6,49.7,3.76,2,2.1,20938.0,0,126.1,107.7,44.249218,10.7376485,036024
316,Compiano,PR,1048,944.0,68.7,54.6,76.6,67.0,83.3,96.1,87.8,94.4,13.0,50.4,90.5,26.8,55.0,32.4,18.0,64.2,12.6,12.8,9,0.8,1.6,8.15,333.0,31.8,50.5,-4.73,5,4.8,19611.0,0,203.8,182.5,44.5326802,9.6743346,034011
316,Frassinoro,MO,1721,1107.0,68.7,70.2,70.1,62.6,72.9,81.6,76.5,53.1,19.7,19.7,58.4,48.6,50.9,51.9,4.3,66.4,9.8,27.6,6,0.05,0.1,30.22,443.0,36.3,53.4,-9.04,2,1.2,20360.0,0,143.3,133.7,44.266239,10.5371748,036016
318,Palanzano,PR,1001,620.0,68.0,85.4,63.6,62.0,66.0,70.9,74.0,40.5,5.4,28.6,28.6,62.6,50.7,29.5,29.3,53.3,17.8,22.0,0,0.77,0.77,43.01,512.0,41.0,55.2,-9.41,1,1.0,21369.0,0,162.6,145.7,44.4366169,10.2197091,034026
318,Monchio delle Corti,PR,827,938.0,68.0,63.9,73.8,53.3,93.6,87.3,71.5,63.6,20.2,41.1,53.5,44.3,45.6,54.3,32.2,51.6,10.3,3.8,3,0.3,0.3,22.22,758.0,44.0,56.8,-6.34,5,6.0,20936.0,0,171.6,155.0,44.4003309,10.1155871,034022
320,Tornolo,PR,868,916.0,67.9,64.3,66.5,70.8,70.4,89.4,56.0,59.4,13.6,53.3,56.7,50.8,58.5,29.8,14.0,62.3,23.1,13.7,1,2.81,2.81,18.25,1109.0,42.2,57.1,-7.26,4,4.6,17955.0,0,214.9,194.8,44.4511379,9.5497396,034040
321,Cerignale,PC,115,1107.0,67.2,65.3,47.7,79.3,91.4,57.7,58.7,35.2,29.0,31.2,60.5,84.4,85.0,33.9,10.8,35.0,10.5,6.4,5,0.0,0.0,79.49,1550.0,53.9,62.3,-4.17,2,17.4,19975.0,0,228.1,203.9,44.6559904,9.3525749,033015
322,Ottone,PC,397,1050.0,66.6,61.1,52.5,72.3,94.8,75.3,52.1,47.0,23.8,42.2,63.5,71.0,74.2,45.7,6.4,46.7,6.6,6.5,6,7.02,7.02,36.49,1492.0,45.1,59.5,-19.14,1,2.5,19666.0,0,232.3,208.5,44.6259497,9.3018853,033030
323,Riolunato,MO,646,664.0,65.7,72.1,63.0,61.8,67.0,70.9,82.6,32.4,15.3,29.1,67.7,56.2,62.0,60.7,16.6,49.3,24.3,15.4,0,0.13,0.13,43.05,391.0,35.1,52.1,-6.65,4,6.2,20344.0,0,133.3,114.6,44.2341893,10.6497234,036035
324,Lama Mocogno,MO,2645,765.0,65.6,64.9,56.2,68.3,76.1,67.0,95.2,28.6,17.0,50.4,62.0,69.9,63.8,61.4,12.3,27.7,24.2,5.6,4,0.18,0.21,47.28,306.0,30.4,50.0,-1.01,6,2.3,20002.0,0,128.9,120.2,44.3053338,10.7088554,036018
325,Corniglio,PR,1772,726.0,65.2,61.7,80.6,52.7,72.6,77.5,84.0,71.1,23.0,35.7,54.7,40.6,29.5,55.4,41.7,52.5,22.4,12.5,2,0.8,1.0,35.17,486.0,37.0,53.8,-4.27,7,4.0,22323.0,0,172.8,154.2,44.4727285,10.0812418,034012
326,Bedonia,PR,3142,831.0,64.9,59.6,63.6,59.7,81.9,92.6,85.0,80.3,12.4,39.2,80.0,45.0,71.1,45.7,16.2,78.4,13.5,13.0,6,4.53,6.58,12.32,364.0,35.6,52.3,-5.76,6,1.9,18146.0,0,211.5,190.0,44.5263549,9.5786887,034003
327,Ferriere,PC,1087,695.0,64.8,62.0,47.7,71.2,97.4,73.5,60.7,48.7,26.1,4.7,86.6,74.8,97.6,47.5,4.8,48.7,4.9,5.0,4,3.51,3.51,39.52,953.0,46.5,58.3,-8.81,3,2.8,20142.0,0,217.1,193.5,44.6282975,9.4941198,033020
328,Gropparello,PC,2170,601.0,64.3,64.3,63.0,69.2,61.0,94.0,88.7,23.0,24.9,25.1,73.4,56.4,61.7,23.2,22.8,54.6,22.6,23.7,0,3.48,3.48,10.53,449.0,34.8,52.1,-2.12,0,0.0,20209.0,0,199.5,172.9,44.8083324,9.7119072,033025
329,Zerba,PC,69,1491.0,64.0,66.1,58.6,67.8,64.2,90.8,72.1,39.1,18.6,51.8,45.1,64.2,64.9,37.9,23.6,38.8,23.6,18.5,1,0.0,0.0,17.14,775.0,44.9,58.2,-5.48,2,29.0,16223.0,0,235.7,211.0,44.6794623,9.2545648,033047
330,Premilcuore,FC,680,763.0,62.6,70.4,69.7,51.1,63.0,87.5,72.6,81.3,2.6,29.6,56.5,47.7,53.1,47.9,30.1,74.3,29.0,17.3,4,9.84,9.84,18.36,569.0,37.6,53.6,-9.33,5,7.4,18120.0,0,56.9,34.3,43.9684845,11.7769667,040033
